,Hotel_Name,Location,Destination,Facilities,Original Price,Current Price,Taxes and Charges,Discount,Price per Day,Hotel_Rating,Rating_Category,Preferred_Hotel,Reviews_available,Free_cancellation,pay at the property,Breakfast included?
374,StayMazing Manyata-1BHK Boutique AC Apartments -Couple Friendly,Bangalore,Bangalore,One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 82m²1 double bedNo prepayment needed – ,61152.0,47087.0,5650.0,14065.0,1883.46,9.1,Superb,YES,42.0,YES,YES,NO
375,JW Marriott Hotel Bengaluru,"Bangalore Shopping Area, Bangalore",Bangalore,Deluxe Room 2 Twin1 extra-large double bedNo prepayment needed – ,0.0,719515.0,129513.0,0.0,30322.43,8.4,Very Good,YES,268.0,YES,YES,YES
376,Mistyblue Stays,Bangalore,Bangalore,Two-Bedroom ApartmentEntire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 102m²2 large double bedsNo prepayment needed – ,0.0,114912.0,13789.0,0.0,4596.46,7.4,Good,YES,113.0,YES,YES,NO
377,Mistyblue Serviced Apartments,Bangalore,Bangalore,Two-Bedroom ApartmentEntire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²2 double bedsNo prepayment needed – ,0.0,129276.0,15513.0,0.0,5171.04,7.2,Good,YES,150.0,YES,YES,NO
378,Goshen Inn Suites and Serviced Apartments,Bangalore,Bangalore,Three-Bedroom VillaEntire villa • 3 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 21m²6 single beds,0.0,132517.0,15902.0,0.0,5300.68,9.3,Superb,YES,48.0,YES,NO,NO
379,Oriva Freshco,Bangalore,Bangalore,Deluxe Room1 double bedNo prepayment needed – ,142792.0,91387.0,10966.0,51405.0,3655.46,9.2,Superb,YES,4.0,YES,YES,NO
380,SPLENDID SHUBHAM SERVICED APARTMENTS,Bangalore,Bangalore,Two-Bedroom ApartmentEntire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 121m²2 extra-large double beds,0.0,132678.0,15921.0,0.0,5307.11,8.1,Very Good,YES,115.0,YES,NO,NO
381,Tranquil Orchid Serviced Apartments,"Electronic City, Bangalore",Bangalore,"One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 74m²7 beds (1 single, 3 sofa beds, 3 large doubles)",0.0,63000.0,7560.0,0.0,2520.0,8.5,Very Good,YES,66.0,YES,NO,NO
382,FabHotel Greenwood Xpress Inn - Nr Manipal Hospital,Bangalore,Bangalore,Deluxe Room1 large double bedNo prepayment needed – ,81551.0,52192.0,6263.0,29359.0,2087.68,9.1,Superb,YES,939.0,YES,YES,NO
383,FabHotel Rotano Grand - Nr Marathahalli Bridge,Bangalore,Bangalore,Deluxe Room1 double bedNo prepayment needed – ,81551.0,52192.0,6263.0,29359.0,2087.68,8.8,Fabulous,YES,624.0,YES,YES,NO
384,Pinnacle Serviced Apartments,Bangalore,Bangalore,Two-Bedroom ApartmentEntire apartment • 2 bedrooms • 3 living rooms • 2 bathrooms • 1 kitchen • 167m²2 extra-large double bedsNo prepayment needed – ,0.0,113400.0,13608.0,0.0,4536.0,8.4,Very Good,YES,69.0,YES,YES,NO
385,Olive Hotel JP Nagar by Embassy Group,"JP Nagar, Bangalore",Bangalore,Double Room1 large double bedNo prepayment needed – ,0.0,77146.0,9257.0,0.0,3085.82,7.5,Good,YES,200.0,YES,YES,NO
386,Wandr Hotel- Near MG Road,Bangalore,Bangalore,Standard Queen Room1 double bedNo prepayment needed – ,196560.0,86486.0,10378.0,110074.0,3459.43,8.8,Fabulous,YES,154.0,YES,YES,NO
